ICAO,IATA,ISO3
07FA,OCA,USA
0CO2,CSE,USA
0TE7,JCY,USA
13MA,PMX,USA
19AK,ICY,USA
2AK3,FIV,USA
2AK6,HGZ,USA
2IG4,OTN,USA
2TE0,BZT,USA
38WA,BYW,USA
3AK5,DRF,USA
3IS8,BDF,USA
4TE8,EVA,USA
65LA,BCS,USA
6CA3,SPQ,USA
6OK6,BWL,USA
78WA,CWS,USA
7NC2,DUF,USA
7WA5,SSW,USA
82CL,FOB,USA
84CL,CCD,USA
89NY,AXB,USA
8XS8,REE,USA
90WA,WDN,USA
AF10,URZ,AFG
AF11,OLR,AFG
AGAF,AFT,SLB
AGAR,RNA,SLB
AGAT,ATD,SLB
AGBA,VEV,SLB
AGEV,GEF,SLB
AGGA,AKS,SLB
AGGB,BNY,SLB
AGGC,CHY,SLB
AGGE,BAS,SLB
AGGF,FRE,SLB
AGGH,HIR,SLB
AGGI,MBU,SLB
AGGJ,AVU,SLB
AGGK,IRA,SLB
AGGL,SCZ,SLB
AGGM,MUA,SLB
AGGN,GZO,SLB
AGGO,MNY,SLB
AGGP,PRS,SLB
AGGQ,OTV,SLB
AGGR,RNL,SLB
AGGS,EGM,SLB
AGGT,NNB,SLB
AGGU,RUS,SLB
AGGV,VAO,SLB
AGGY,XYA,SLB
AGKG,KGE,SLB
AGKU,KUE,SLB
AGKW,KWS,SLB
AGNA,NAZ,SLB
AGRC,RIN,SLB
AGRM,RBV,SLB
AGTI,TLG,SLB
AK13,CEX,USA
AK26,SOL,USA
AK33,HED,USA
AK49,TWE,USA
AK56,KTH,USA
AK62,NKI,USA
AK71,LNI,USA
AK75,CDL,USA
AK81,AOS,USA
AK96,BSZ,USA
AK97,BSW,USA
AL73,TGE,USA
ANYN,INU,NRU
AYAQ,KPM,PNG
AYBK,BUA,PNG
AYBR,BRP,PNG
AYCH,CMU,PNG
AYDK,MDM,PNG
AYDL,KPF,PNG
AYDN,DNU,PNG
AYDO,DOI,PNG
AYDU,DAU,PNG
AYEB,EMS,PNG
AYED,XYR,PNG
AYEL,EPT,PNG
AYEN,EGA,PNG
AYEO,EMO,PNG
AYER,ERU,PNG
AYES,MFZ,PNG
AYFE,FRQ,PNG
AYFR,FAQ,PNG
AYFU,FUM,PNG
AYGA,GKA,PNG
AYGF,GUG,PNG
AYGG,GRL,PNG
AYGN,GUR,PNG
AYGP,GAP,PNG
AYGR,PNP,PNG
AYGS,GBC,PNG
AYHB,HBD,PNG
AYHE,HNI,PNG
AYHH,HNN,PNG
AYHK,HKN,PNG
AYHO,HIT,PNG
AYII,IMN,PNG
AYIM,KGM,PNG
AYIO,IMD,PNG
AYIU,IAL,PNG
AYIX,WIU,PNG
AYJO,KGH,PNG
AYKA,LSA,PNG
AYKG,KPA,PNG
AYKI,UNG,PNG
AYKJ,KNE,PNG
AYKK,KRI,PNG
AYKM,KMA,PNG
AYKR,KRX,PNG
AYKT,KIE,PNG
AYKU,KUQ,PNG
AYKV,KVG,PNG
AYKY,LNV,PNG
AYLB,LAB,PNG
AYLO,LWI,PNG
AYLP,LPN,PNG
AYLS,LNG,PNG
AYLX,LSJ,PNG
AYMA,MRM,PNG
AYMB,OBM,PNG
AYMD,MAG,PNG
AYMH,HGU,PNG
AYML,GUV,PNG
AYMN,MDU,PNG
AYMO,MAS,PNG
AYMR,MXH,PNG
AYMS,MIS,PNG
AYMW,MWG,PNG
AYNA,NKN,PNG
AYNE,GBF,PNG
AYNG,MFO,PNG
AYNM,KSB,PNG
AYNO,NMN,PNG
AYNY,NBA,PNG
AYNZ,LAE,PNG
AYOE,KGB,PNG
AYOJ,OKP,PNG
AYOK,HOC,PNG
AYOQ,KCJ,PNG
AYOW,KDE,PNG
AYPC,PGB,PNG
AYPG,PGN,PNG
AYPO,MPF,PNG
AYPQ,PMN,PNG
AYPY,POM,PNG
AYQO,SPH,PNG
AYQS,SXA,PNG
AYRG,RMN,PNG
AYRI,KMR,PNG
AYRM,MWI,PNG
AYRV,MRH,PNG
AYSA,SBE,PNG
AYSE,NIS,PNG
AYSG,SIL,PNG
AYSH,SBV,PNG
AYSJ,SIM,PNG
AYSO,SBC,PNG
AYSQ,SPV,PNG
AYSV,SXW,PNG
AYSX,MBV,PNG
AYTA,TIZ,PNG
AYTB,TBG,PNG
AYTI,TPI,PNG
AYTK,RAB,PNG
AYTN,TKW,PNG
AYTP,TEP,PNG
AYTS,TSW,PNG
AYTT,TRJ,PNG
AYTW,TWY,PNG
AYTZ,TKB,PNG
AYUC,UMC,PNG
AYUE,URU,PNG
AYUR,UPR,PNG
AYUZ,UVO,PNG
AYVL,TLW,PNG
AYVM,TCJ,PNG
AYVN,VAI,PNG
AYVO,TON,PNG
AYWB,WAO,PNG
AYWD,WBM,PNG
AYWF,WAJ,PNG
AYWK,WWK,PNG
AYWO,WOA,PNG
AYWQ,WKN,PNG
AYWS,WSU,PNG
AYWT,WTP,PNG
AYWU,WUG,PNG
AYXE,YVD,PNG
AYXI,SMJ,PNG
AYXW,WEP,PNG
AYYE,KYX,PNG
AYYR,KSX,PNG
AYZM,WUM,PNG
AZ15,HAE,USA
BGAA,JEG,GRL
BGAP,LLU,GRL
BGAT,QGQ,GRL
BGBW,UAK,GRL
BGCH,JCH,GRL
BGCO,CNP,GRL
BGDU,DUN,GRL
BGET,QFG,GRL
BGGH,GOH,GRL
BGGN,JGO,GRL
BGIG,QFI,GRL
BGIK,QRY,GRL
BGIL,XIQ,GRL
BGIT,QJI,GRL
BGJH,JJU,GRL
BGJN,JAV,GRL
BGKA,QPW,GRL
BGKK,KUS,GRL
BGKT,QJE,GRL
BGMQ,JSU,GRL
BGNN,JNN,GRL
BGNS,JNS,GRL
BGPT,JFR,GRL
BGQE,QQT,GRL
BGQQ,NAQ,GRL
BGSC,OBY,GRL
BGSF,SFJ,GRL
BGSO,QOQ,GRL
BGSS,JHS,GRL
BGTL,THU,GRL
BGUK,JUV,GRL
BGUM,UMD,GRL
BGUQ,JQA,GRL
BIAR,AEY,ISL
BIBD,BIU,ISL
BIBF,BGJ,ISL
BIBK,BJD,ISL
BIBL,BLO,ISL
BIBR,BQD,ISL
BIBV,BXV,ISL
BIDV,DJU,ISL
BIEG,EGS,ISL
BIFF,FAS,ISL
BIFM,FAG,ISL
BIGF,GUU,ISL
BIGJ,GJR,ISL
BIGR,GRY,ISL
BIHK,HVK,ISL
BIHN,HFN,ISL
BIHT,FLI,ISL
BIHU,HZK,ISL
BIHV,HVM,ISL
BIID,HLO,ISL
BIIS,IFJ,ISL
BIKF,KEF,ISL
BIKP,OPA,ISL
BIKR,SAK,ISL
BINF,NOR,ISL
BIOF,OFJ,ISL
BIPA,PFJ,ISL
BIRE,RHA,ISL
BIRF,OLI,ISL
BIRG,RFN,ISL
BIRK,RKV,ISL
BIRL,MVA,ISL
BISI,SIJ,ISL
BIST,SYK,ISL
BITE,TEY,ISL
BITN,THO,ISL
BIVM,VEY,ISL
BIVO,VPN,ISL
BKPR,PRN,XKX
CAB3,YBW,CAN
CAB4,YTP,CAN
CAB5,YBM,CAN
CAC3,ZAA,CAN
CAC8,ZNA,CAN
CAD4,YZZ,CAN
CAD5,YMB,CAN
CAE3,YHH,CAN
CAE5,YWS,CAN
CAE9,YBF,CAN
CAF6,YIG,CAN
CAG3,CJH,CAN
CAG8,YPT,CAN
CAH2,ZOF,CAN
CAH3,YCA,CAN
CAJ3,CFQ,CAN
CAJ4,YAA,CAN
CAL3,DGF,CAN
CAL4,JHL,CAN
CAL9,ZTS,CAN
CAM3,DUQ,CAN
CAN8,YPI,CAN
CAP3,YHS,CAN
CAP7,YKK,CAN
CAQ8,WPL,CAN
CAT4,XQU,CAN
CAT5,YMP,CAN
CAU8,YRN,CAN
CAV5,YTG,CAN
CAV7,YMU,CAN
CAW7,YAV,CAN
CAW8,YSX,CAN
CAX6,YGG,CAN
CAY4,YTB,CAN
CAZ5,YZA,CAN
CBBC,ZEL,CAN
CBM5,YTX,CAN
CBS8,YPB,CAN
CBW4,YBO,CAN
CBX5,TNS,CAN
CBX7,TUX,CAN
CCA6,YWM,CAN
CCD4,YSO,CAN
CCE4,YBI,CAN
CCK4,YFX,CAN
CCP4,YHA,CAN
CCZ2,YRG,CAN
CDK2,DVK,CAN
CDL7,JOJ,CAN
CEB5,ZFW,CAN
CEC4,YJP,CAN
CEM3,YLE,CAN
CEQ5,YGC,CAN
CER3,YDC,CAN
CER4,NML,CAN
CEW3,ZSP,CAN
CFA7,GSL,CAN
CFC4,XMP,CAN
CFF4,DAS,CAN
CFG6,YFI,CAN
CFJ2,YFJ,CAN
CFM4,YOE,CAN
CFQ4,TIL,CAN
CJC8,LRQ,CAN
CJL2,YDJ,CAN
CJL8,YDU,CAN
CJN8,YFL,CAN
CJS3,XCL,CAN
CJT3,YKE,CAN
CJV7,SUR,CAN
CJY3,YTT,CAN
CKB6,YAX,CAN
CKL3,WNN,CAN
CKM8,YBS,CAN
CKQ3,YNO,CAN
CKV4,YDW,CAN
CNE3,XBE,CAN
CNH2,YNP,CAN
CNJ8,YWR,CAN
CNK4,YPD,CAN
CNL3,XBR,CAN
CNM5,KIF,CAN
CNT3,YOG,CAN
CPF2,YEB,CAN
CPS9,YSI,CAN
CPV7,YHP,CAN
CPV8,KEW,CAN
CSB2,YSA,CAN
CSH4,YLS,CAN
CSK6,YNX,CAN
CSR8,SSQ,CAN
CSU2,YKU,CAN
CT88,EHT,USA
CTB6,ZTB,CAN
CTK6,ZKG,CAN
CTM3,YWQ,CAN
CTP9,YAU,CAN
CTR7,TR7,CAN
CTT5,ZGS,CAN
CTU2,YFG,CAN
CTU4,YGA,CAN
CTU5,ZLT,CAN
CYAB,YAB,CAN
CYAC,YAC,CAN
CYAD,YAR,CAN
CYAG,YAG,CAN
CYAH,YAH,CAN
CYAL,YAL,CAN
CYAM,YAM,CAN
CYAQ,XKS,CAN
CYAS,YKG,CAN
CYAT,YAT,CAN
CYAW,YAW,CAN
CYAY,YAY,CAN
CYAZ,YAZ,CAN
CYBA,YBA,CAN
CYBB,YBB,CAN
CYBC,YBC,CAN
CYBD,QBC,CAN
CYBE,YBE,CAN
CYBF,YBY,CAN
CYBG,YBG,CAN
CYBK,YBK,CAN
CYBL,YBL,CAN
CYBN,YBN,CAN
CYBQ,XTL,CAN
CYBR,YBR,CAN
CYBT,YBT,CAN
CYBV,YBV,CAN
CYBX,YBX,CAN
CYCA,YRF,CAN
CYCB,YCB,CAN
CYCC,YCC,CAN
CYCD,YCD,CAN
CYCE,YCE,CAN
CYCG,YCG,CAN
CYCH,YCH,CAN
CYCK,XCM,CAN
CYCL,YCL,CAN
CYCN,YCN,CAN
CYCO,YCO,CAN
CYCQ,YCQ,CAN
CYCR,YCR,CAN
CYCS,YCS,CAN
CYCT,YCT,CAN
CYCV,YCV,CAN
CYCW,YCW,CAN
CYCY,YCY,CAN
CYCZ,YCZ,CAN
CYDA,YDA,CAN
CYDB,YDB,CAN
CYDF,YDF,CAN
CYDL,YDL,CAN
CYDM,XRR,CAN
CYDN,YDN,CAN
CYDO,YDO,CAN
CYDP,YDP,CAN
CYDQ,YDQ,CAN
CYEG,YEG,CAN
CYEK,YEK,CAN
CYEL,YEL,CAN
CYEM,YEM,CAN
CYEN,YEN,CAN
CYER,YER,CAN
CYET,YET,CAN
CYEU,YEU,CAN
CYEV,YEV,CAN
CYEY,YEY,CAN
CYFA,YFA,CAN
CYFB,YFB,CAN
CYFC,YFC,CAN
CYFE,YFE,CAN
CYFH,YFH,CAN
CYFJ,YTM,CAN
CYFO,YFO,CAN
CYFR,YFR,CAN
CYFS,YFS,CAN
CYFT,YMN,CAN
CYGB,YGB,CAN
CYGH,YGH,CAN
CYGK,YGK,CAN
CYGL,YGL,CAN
CYGM,YGM,CAN
CYGO,YGO,CAN
CYGP,YGP,CAN
CYGQ,YGQ,CAN
CYGR,YGR,CAN
CYGT,YGT,CAN
CYGV,YGV,CAN
CYGW,YGW,CAN
CYGX,YGX,CAN
CYGZ,YGZ,CAN
CYHA,YQC,CAN
CYHB,YHB,CAN
CYHC,CXH,CAN
CYHD,YHD,CAN
CYHE,YHE,CAN
CYHF,YHF,CAN
CYHH,YNS,CAN
CYHI,YHI,CAN
CYHK,YHK,CAN
CYHM,YHM,CAN
CYHN,YHN,CAN
CYHO,YHO,CAN
CYHR,YHR,CAN
CYHT,YHT,CAN
CYHU,YHU,CAN
CYHY,YHY,CAN
CYHZ,YHZ,CAN
CYIB,YIB,CAN
CYID,YDG,CAN
CYIF,YIF,CAN
CYIK,YIK,CAN
CYIO,YIO,CAN
CYIV,YIV,CAN
CYJA,YJA,CAN
CYJF,YJF,CAN
CYJN,YJN,CAN
CYJT,YJT,CAN
CYKA,YKA,CAN
CYKC,YKC,CAN
CYKD,LAK,CAN
CYKF,YKF,CAN
CYKG,YWB,CAN
CYKJ,YKJ,CAN
CYKL,YKL,CAN
CYKM,YKD,CAN
CYKO,AKV,CAN
CYKQ,YKQ,CAN
CYKX,YKX,CAN
CYKY,YKY,CAN
CYKZ,YKZ,CAN
CYLA,YPJ,CAN
CYLB,YLB,CAN
CYLC,YLC,CAN
CYLD,YLD,CAN
CYLH,YLH,CAN
CYLJ,YLJ,CAN
CYLK,YSG,CAN
CYLL,YLL,CAN
CYLQ,YLQ,CAN
CYLR,YLR,CAN
CYLS,YLK,CAN
CYLT,YLT,CAN
CYLU,XGR,CAN
CYLW,YLW,CAN
CYMA,YMA,CAN
CYME,YME,CAN
CYMG,YMG,CAN
CYMH,YMH,CAN
CYMJ,YMJ,CAN
CYML,YML,CAN
CYMM,YMM,CAN
CYMO,YMO,CAN
CYMT,YMT,CAN
CYMU,YUD,CAN
CYMW,YMW,CAN
CYMX,YMX,CAN
CYNA,YNA,CAN
CYNC,YNC,CAN
CYND,YND,CAN
CYNE,YNE,CAN
CYNH,YNH,CAN
CYNJ,YLY,CAN
CYNL,YNL,CAN
CYNM,YNM,CAN
CYNR,HZP,CAN
CYOA,YOA,CAN
CYOC,YOC,CAN
CYOD,YOD,CAN
CYOH,YOH,CAN
CYOJ,YOJ,CAN
CYOO,YOO,CAN
CYOP,YOP,CAN
CYOS,YOS,CAN
CYOW,YOW,CAN
CYOY,YOY,CAN
CYPA,YPA,CAN
CYPC,YPC,CAN
CYPD,YPS,CAN
CYPE,YPE,CAN
CYPG,YPG,CAN
CYPH,YPH,CAN
CYPL,YPL,CAN
CYPM,YPM,CAN
CYPN,YPN,CAN
CYPO,YPO,CAN
CYPQ,YPQ,CAN
CYPR,YPR,CAN
CYPW,YPW,CAN
CYPX,YPX,CAN
CYPY,YPY,CAN
CYPZ,YPZ,CAN
CYQA,YQA,CAN
CYQB,YQB,CAN
CYQD,YQD,CAN
CYQF,YQF,CAN
CYQG,YQG,CAN
CYQH,YQH,CAN
CYQI,YQI,CAN
CYQK,YQK,CAN
CYQL,YQL,CAN
CYQM,YQM,CAN
CYQN,YQN,CAN
CYQQ,YQQ,CAN
CYQR,YQR,CAN
CYQS,YQS,CAN
CYQT,YQT,CAN
CYQU,YQU,CAN
CYQV,YQV,CAN
CYQW,YQW,CAN
CYQX,YQX,CAN
CYQY,YQY,CAN
CYQZ,YQZ,CAN
CYRA,YRA,CAN
CYRB,YRB,CAN
CYRI,YRI,CAN
CYRJ,YRJ,CAN
CYRL,YRL,CAN
CYRM,YRM,CAN
CYRO,YRO,CAN
CYRQ,YRQ,CAN
CYRS,YRS,CAN
CYRT,YRT,CAN
CYRV,YRV,CAN
CYSB,YSB,CAN
CYSC,YSC,CAN
CYSD,YSD,CAN
CYSE,YSE,CAN
CYSF,YSF,CAN
CYSH,YSH,CAN
CYSJ,YSJ,CAN
CYSK,YSK,CAN
CYSL,YSL,CAN
CYSM,YSM,CAN
CYSN,YCM,CAN
CYSP,YSP,CAN
CYST,YST,CAN
CYSU,YSU,CAN
CYSY,YSY,CAN
CYTA,YTA,CAN
CYTE,YTE,CAN
CYTF,YTF,CAN
CYTH,YTH,CAN
CYTL,YTL,CAN
CYTQ,YTQ,CAN
CYTR,YTR,CAN
CYTS,YTS,CAN
CYTZ,YTZ,CAN
CYUB,YUB,CAN
CYUL,YUL,CAN
CYUT,YUT,CAN
CYUX,YUX,CAN
CYUY,YUY,CAN
CYVB,YVB,CAN
CYVC,YVC,CAN
CYVG,YVG,CAN
CYVK,YVE,CAN
CYVL,YCK,CAN
CYVM,YVM,CAN
CYVO,YVO,CAN
CYVP,YVP,CAN
CYVQ,YVQ,CAN
CYVR,YVR,CAN
CYVT,YVT,CAN
CYVV,YVV,CAN
CYVZ,YVZ,CAN
CYWA,YWA,CAN
CYWG,YWG,CAN
CYWH,YWH,CAN
CYWJ,YWJ,CAN
CYWK,YWK,CAN
CYWL,YWL,CAN
CYWP,YWP,CAN
CYWY,YWY,CAN
CYXC,YXC,CAN
CYXD,YXD,CAN
CYXE,YXE,CAN
CYXH,YXH,CAN
CYXI,YXI,CAN
CYXJ,YXJ,CAN
CYXK,YXK,CAN
CYXL,YXL,CAN
CYXN,YXN,CAN
CYXP,YXP,CAN
CYXQ,YXQ,CAN
CYXR,YXR,CAN
CYXS,YXS,CAN
CYXT,YXT,CAN
CYXU,YXU,CAN
CYXX,YXX,CAN
CYXY,YXY,CAN
CYXZ,YXZ,CAN
CYYB,YYB,CAN
CYYC,YYC,CAN
CYYD,YYD,CAN
CYYE,YYE,CAN
CYYF,YYF,CAN
CYYG,YYG,CAN
CYYH,YYH,CAN
CYYJ,YYJ,CAN
CYYL,YYL,CAN
CYYM,YYM,CAN
CYYN,YYN,CAN
CYYQ,YYQ,CAN
CYYR,YYR,CAN
CYYT,YYT,CAN
CYYU,YYU,CAN
CYYW,YYW,CAN
CYYY,YYY,CAN
CYYZ,YYZ,CAN
CYZD,YZD,CAN
CYZE,YZE,CAN
CYZF,YZF,CAN
CYZG,YZG,CAN
CYZH,YZH,CAN
CYZP,YZP,CAN
CYZR,YZR,CAN
CYZS,YZS,CAN
CYZT,YZT,CAN
CYZU,YZU,CAN
CYZV,YZV,CAN
CYZW,YZW,CAN
CYZX,YZX,CAN
CZAC,ZAC,CAN
CZAM,YSN,CAN
CZBB,YDT,CAN
CZBD,ILF,CAN
CZBF,ZBF,CAN
CZBM,ZBM,CAN
CZEE,KES,CAN
CZEM,ZEM,CAN
CZFA,ZFA,CAN
CZFD,ZFD,CAN
CZFG,XPK,CAN
CZFM,ZFM,CAN
CZFN,ZFN,CAN
CZGF,ZGF,CAN
CZGI,ZGI,CAN
CZGR,ZGR,CAN
CZHP,ZHP,CAN
CZJG,ZJG,CAN
CZJN,ZJN,CAN
CZKE,ZKE,CAN
CZLQ,YTD,CAN
CZMD,MSA,CAN
CZML,ZMH,CAN
CZMN,PIW,CAN
CZMT,ZMT,CAN
CZNG,XPP,CAN
CZPB,ZPB,CAN
CZPC,WPC,CAN
CZPO,ZPO,CAN
CZRJ,ZRJ,CAN
CZSJ,ZSJ,CAN
CZSN,XSI,CAN
CZST,ZST,CAN
CZSW,ZSW,CAN
CZTA,YDV,CAN
CZTM,ZTM,CAN
CZUC,ZUC,CAN
CZUM,ZUM,CAN
CZWH,XLB,CAN
CZWL,ZWL,CAN
DA14,MQV,DZA
DAAB,QLD,DZA
DAAD,BUJ,DZA
DAAE,BJA,DZA
DAAG,ALG,DZA
DAAJ,DJG,DZA
DAAP,VVZ,DZA
DAAS,QSF,DZA
DAAT,TMR,DZA
DAAV,GJL,DZA
DAAY,MZW,DZA
DABB,AAE,DZA
DABC,CZL,DZA
DABO,QMH,DZA
DABP,SKI,DZA
DABS,TEE,DZA
DABT,BLJ,DZA
DAFH,HRM,DZA
DAFI,QDJ,DZA
DAOB,TID,DZA
DAOF,TIN,DZA
DAOI,CFK,DZA
DAOL,TAF,DZA
DAON,TLM,DZA
DAOO,ORN,DZA
DAOR,CBH,DZA
DAOS,BFW,DZA
DAOV,MUW,DZA
DAOY,EBH,DZA
DATG,INF,DZA
DATM,BMW,DZA
DAUA,AZR,DZA
DAUB,BSK,DZA
DAUE,ELG,DZA
DAUG,GHA,DZA
DAUH,HME,DZA
DAUI,INZ,DZA
DAUK,TGR,DZA
DAUL,LOO,DZA
DAUO,ELU,DZA
DAUT,TMX,DZA
DAUU,OGX,DZA
DAUZ,IAM,DZA
DBBB,COO,BEN
DBBD,DJA,BEN
DBBK,KDC,BEN
DBBN,NAE,BEN
DBBP,PKO,BEN
DBBS,SVF,BEN
DFCA,XKY,BFA
DFCC,OUG,BFA
DFCJ,XDJ,BFA
DFCL,XLU,BFA
DFCP,PUP,BFA
DFEA,XBO,BFA
DFEB,XBG,BFA
DFED,DIP,BFA
DFEE,DOR,BFA
DFEF,FNG,BFA
DFEG,XGG,BFA
DFEL,XKA,BFA
DFEM,TMQ,BFA
DFEP,XPA,BFA
DFER,ARL,BFA
DFES,XSE,BFA
DFET,TEG,BFA
DFEZ,XZA,BFA
DFFD,OUA,BFA
DFOB,BNR,BFA
DFOD,DGU,BFA
DFOG,XGA,BFA
DFON,XNU,BFA
DFOO,BOY,BFA
DFOT,TUQ,BFA
DFOU,XDE,BFA
DFOY,XAR,BFA
DGAA,ACC,GHA
DGLE,TML,GHA
DGSI,KMS,GHA
DGSN,NYI,GHA
DGTK,TKD,GHA
DIAO,ABO,CIV
DIAP,ABJ,CIV
DIAU,OGO,CIV
DIBI,BXI,CIV
DIBK,BYK,CIV
DIBN,BQO,CIV
DIBU,BDK,CIV
DIDK,DIM,CIV
DIDL,DJO,CIV
DIFK,FEK,CIV
DIGA,GGN,CIV
DIGL,GGO,CIV
DIGN,BBV,CIV
DIKO,HGO,CIV
DIMN,MJC,CIV
DIOD,KEO,CIV
DIOF,OFI,CIV
DISG,SEO,CIV
DISP,SPY,CIV
DISS,ZSS,CIV
DITB,TXU,CIV
DITN,TOZ,CIV
DIYO,ASK,CIV
DN57,DKA,NGA
DNAA,ABV,NGA
DNAI,QUO,NGA
DNAK,AKR,NGA
DNAS,ABB,NGA
DNBC,BCU,NGA
DNBE,BNI,NGA
DNCA,CBQ,NGA
DNEN,ENU,NGA
DNIB,IBA,NGA
DNIL,ILR,NGA
DNIM,QOW,NGA
DNJO,JOS,NGA
DNKA,KAD,NGA
DNKN,KAN,NGA
DNMA,MIU,NGA
DNMK,MDI,NGA
DNMM,LOS,NGA
DNMN,MXJ,NGA
DNPO,PHC,NGA
DNSO,SKO,NGA
DNYO,YOL,NGA
DNZA,ZAR,NGA
DRRM,MFQ,NER
DRRN,NIM,NER
DRRT,THZ,NER
DRZA,AJY,NER
DRZL,RLT,NER
DRZR,ZND,NER
DTKA,TBJ,TUN
DTMB,MIR,TUN
DTTA,TUN,TUN
DTTF,GAF,TUN
DTTG,GAE,TUN
DTTJ,DJE,TUN
DTTR,EBM,TUN
DTTX,SFA,TUN
DTTZ,TOE,TUN
DXNG,LRL,TGO
DXXX,LFW,TGO
EBAW,ANR,BEL
EBBR,BRU,BEL
EBCI,CRL,BEL
EBKT,KJK,BEL
EBLG,LGG,BEL
EBOS,OST,BEL
EBZR,OBL,BEL
EDAC,AOC,DEU
EDAH,HDF,DEU
EDAU,IES,DEU
EDAX,REB,DEU
EDAZ,QXH,DEU
EDBC,CSO,DEU
EDBH,BBH,DEU
EDBM,ZMG,DEU
EDBN,FNB,DEU
EDCD,CBU,DEU
EDCG,GTI,DEU
EDCK,KOQ,DEU
EDCP,PEF,DEU
EDDB,SXF,DEU
EDDC,DRS,DEU
EDDE,ERF,DEU
EDDF,FRA,DEU
EDDG,FMO,DEU
EDDH,HAM,DEU
EDDI,THF,DEU
EDDK,CGN,DEU
EDDL,DUS,DEU
EDDM,MUC,DEU
EDDN,NUE,DEU
EDDP,LEJ,DEU
EDDR,SCN,DEU
EDDS,STR,DEU
EDDT,TXL,DEU
EDDV,HAJ,DEU
EDDW,BRE,DEU
EDFE,QEF,DEU
EDFH,HHN,DEU
EDFM,MHG,DEU
EDGE,EIB,DEU
EDGS,SGE,DEU
EDHI,XFW,DEU
EDHK,KEL,DEU
EDHL,LBC,DEU
EDHN,EUM,DEU
EDJA,FMM,DEU
EDKA,AAH,DEU
EDKB,BNJ,DEU
EDLE,ESS,DEU
EDLI,BFE,DEU
EDLN,MGL,DEU
EDLP,PAD,DEU
EDLV,NRN,DEU
EDLW,DTM,DEU
EDMA,AGB,DEU
EDMO,OBF,DEU
EDMS,RBM,DEU
EDNY,FDH,DEU
EDOP,SZW,DEU
EDQD,BYU,DEU
EDQE,URD,DEU
EDQG,GHF,DEU
EDQM,HOQ,DEU
EDRB,BBJ,DEU
EDRZ,ZQW,DEU
EDSB,FKB,DEU
EDTD,ZQL,DEU
EDTL,LHA,DEU
EDVE,BWE,DEU
EDVK,KSF,DEU
EDWB,BRV,DEU
EDWD,XLW,DEU
EDWE,EME,DEU
EDWG,AGE,DEU
EDWI,WVN,DEU
EDWJ,JUI,DEU
EDWL,LGO,DEU
EDWR,BMK,DEU
EDWS,NOD,DEU
EDWU,VAC,DEU
EDWY,NRD,DEU
EDWZ,BMR,DEU
EDXB,HEI,DEU
EDXF,FLF,DEU
EDXH,HGL,DEU
EDXJ,QHU,DEU
EDXO,PSH,DEU
EDXW,GWT,DEU
EDXY,OHR,DEU
EEKA,KDL,EST
EEKE,URE,EST
EEPU,EPU,EST
EETN,TLL,EST
EETU,TAY,EST
EFET,ENF,FIN
EFHA,KEV,FIN
EFHF,HEM,FIN
EFHK,HEL,FIN
EFHV,HYV,FIN
EFIT,KTQ,FIN
EFIV,IVL,FIN
EFJO,JOE,FIN
EFJY,JYV,FIN
EFKA,KAU,FIN
EFKE,KEM,FIN
EFKI,KAJ,FIN
EFKJ,KHJ,FIN
EFKK,KOK,FIN
EFKS,KAO,FIN
EFKT,KTT,FIN
EFKU,KUO,FIN
EFLA,QLF,FIN
EFLP,LPP,FIN
EFMA,MHQ,FIN
EFMI,MIK,FIN
EFOU,OUL,FIN
EFPO,POR,FIN
EFRO,RVN,FIN
EFSA,SVL,FIN
EFSI,SJY,FIN
EFSO,SOT,FIN
EFTP,TMP,FIN
EFTU,TKU,FIN
EFUT,UTI,FIN
EFVA,VAA,FIN
EFVR,VRK,FIN
EFYL,YLI,FIN
EGAA,BFS,GBR
EGAB,ENK,GBR
EGAC,BHD,GBR
EGAE,LDY,GBR
EGBB,BHX,GBR
EGBE,CVT,GBR
EGBJ,GLO,GBR
EGBK,ORM,GBR
EGBN,NQT,GBR
EGBP,GBA,GBR
EGCC,MAN,GBR
EGCN,DSA,GBR
EGDJ,UPV,GBR
EGDL,LYE,GBR
EGDY,YEO,GBR
EGEC,CAL,GBR
EGED,EOI,GBR
EGEF,FIE,GBR
EGEH,WHS,GBR
EGEL,COL,GBR
EGEN,NRL,GBR
EGEO,OBN,GBR
EGEP,PPW,GBR
EGER,SOY,GBR
EGES,NDY,GBR
EGET,LWK,GBR
