Name,City,Code,x,y,ISO3
Lansdowne Airport,Youngstown,04G,-80.6195833,41.1304722,USA
Moton Field Municipal Airport,Tuskegee,06A,-85.6800278,32.4605722,USA
Schaumburg Regional,Schaumburg,06C,-88.1012428,41.9893408,USA
Randall Airport,Middletown,06N,-74.3915611,41.431912,USA
Jekyll Island Airport,Jekyll Island,09J,-81.4277778,31.0744722,USA
Elizabethton Municipal Airport,Elizabethton,0A9,-82.1734167,36.3712222,USA
Williams County Airport,Bryan,0G6,-84.5067778,41.4673056,USA
Finger Lakes Regional Airport,Seneca Falls,0G7,-76.7812318,42.8835647,USA
Shoestring Aviation Airfield,Stewartstown,0P2,-76.6471914,39.7948244,USA
Jefferson County Intl,Port Townsend,0S9,-122.8106436,48.053808600000004,USA
Harford County Airport,Churchville,0W3,-76.2024028,39.5668378,USA
Galt Field Airport,Greenwood,10C,-88.3751111,42.4028889,USA
Port Bucyrus-Crawford County Airport,Bucyrus,17G,-82.9748056,40.7815556,USA
Jackson County Airport,Jefferson,19A,-83.5615972,34.1758638,USA
Martin Campbell Field Airport,Copperhead,1A3,-84.3468333,35.0158056,USA
Mansfield Municipal,Mansfield,1B9,-71.1967714,42.0001331,USA
Frazier Lake Airpark,Hollister,1C9,-124.7683333,54.01333333,USA
Clow International Airport,Bolingbrook,1CS,-88.1292306,41.6959744,USA
Kent State Airport,Kent,1G3,-81.4151111,41.1513889,USA
Fortman Airport,St. Marys,1OH,-84.3866186,40.5553253,USA
Point Roberts Airpark,Point Roberts,1RL,-123.0788889,48.9797222,USA
Lowell City Airport,Lowell,24C,-85.3439058,42.95392,USA
Suwannee County Airport,Live Oak,24J,-83.0246944,30.300125,USA
Forest Lake Airport,Forest Lake,25D,-92.9943853,45.2477456,USA
Grove City Airport,Grove City,29D,-80.16775,41.1460278,USA
Mark Anton Airport,Dayton,2A0,-84.9310833,35.48625,USA
Jefferson County Airpark,Steubenville,2G2,-80.7008742,40.3602179,USA
Somerset County Airport,Somerset,2G9,-79.0149951,40.0388708,USA
Quincy Municipal Airport,Quincy,2J9,-84.557425,30.5978708,USA
Heber City Municipal Airport,Heber,36U,-111.4288056,40.4818056,USA
Lynden Airport,Lynden,38W,-122.4581183,48.9558961,USA
Ephraim-Gibraltar Airport,Ephraim,3D2,-87.1879444,45.1354167,USA
Wadsworth Municipal,Wadsworth,3G3,-81.7564401,41.0031572,USA
Ashland County Airport,Ashland,3G4,-82.2556389,40.9029722,USA
Ridgeland Airport,Ridgeland,3J1,-80.99175,32.4934167,USA
Put-in-Bay Airport,Put-in-Bay,3W2,-82.497,41.3521,USA
Perry-Foley Airport,Perry,40J,-83.5805833,30.0692778,USA
Braceville Airport,Braceville,41N,-80.9692572,41.2111675,USA
Cherokee County Airport,Canton,47A,-84.4221556,34.3122175,USA
Gilmer County Airport,Ellijay,49A,-84.5265833,34.6282222,USA
Chemehuevi Valley,Chemehuevi Valley,49X,-114.431971,34.528889,USA
Polk County Airport - Cornelius Moore Field,Cedartown,4A4,-85.1464722,34.0186944,USA
Clayton County Tara Field,Hampton,4A7,-84.332397,33.389099,USA
Isbell Field Airport,Fort Payne,4A9,-85.7213889,34.4736944,USA
Robertson Field,Plainville,4B8,-72.8646944,41.6893333,USA
Pittsburgh-Monroeville Airport,Monroeville,4G0,-79.7749167,40.4526389,USA
Hamburg Inc Airport,Hamburg,4G2,-78.9147569,42.7008925,USA
Youngstown Elser Metro Airport,Youngstown,4G4,-80.6773264,40.9617953,USA
Putnam County Airport,Greencastle,4I7,-86.8138056,39.6335556,USA
Dell Flight Strip,Dell,4U9,-112.7200133,44.7357483,USA
Madison GA Municipal Airport,Madison,52A,-83.4604444,33.612125,USA
DeFuniak Springs Airport,DeFuniak Springs,54J,-86.1537778,30.7311111,USA
Fernandina Beach Municipal Airport,Fernandina Beach,55J,-81.4611944,30.6118333,USA
East Troy Municipal Airport,East Troy,57C,-88.3726111,42.7971667,USA
Ocean Isle Beach Airport,Ocean Isle Beach,60J,-78.4366722,33.9085056,USA
Griffin-Spalding County Airport,Griffin,6A2,-84.2749444,33.2269722,USA
Tok Junction Airport,Tok,6K8,-142.953611,63.329444,USA
Big Timber Airport,Big Timber,6S0,-109.9811111,45.8063889,USA
Florence,Florence,6S2,-124.1113687,43.9828168,USA
Welke Airport,Beaver Island,6Y8,-85.520278,45.721111,USA
Cairo-Grady County Airport,Cairo,70J,-84.1547353,30.8879767,USA
Spring Hill Airport,Sterling,70N,-75.4158972,41.3473569,USA
Foster Field,Apple River,7A4,-90.1693889,42.4664444,USA
Germack Airport,Geneva,7D9,-80.9039797,41.7778322,USA
Spitfire Aerodrome,Pedricktown,7N7,-75.3977211,39.7355633,USA
Garland Airport,Lewiston,8M8,-84.2761944,44.8065278,USA
Richland Airport,Richland Center,93C,-90.2982819,43.2833575,USA
Bamberg County Airport,Bamberg,99N,-81.1084167,33.3045278,USA
Covington Municipal Airport,Covington,9A1,-83.8474472,33.6323083,USA
Barwick Lafayette Airport,LaFayette,9A5,-85.2903319,34.6884792,USA
Phoenix Regional Airport,Phoenix,A39,-111.9209976,32.99169922,USA
Anaa,Anaa,AAA,-145.509956,-17.352606,PYF
El Arish International Airport,El Arish,AAC,33.835833,31.073333,EGY
Annaba,Annaba,AAE,7.809167,36.822225,DZA
Apalachicola Regional Airport,Apalachicola,AAF,-85.0274416,29.7276066,USA
Flugplatz Merzbrueck,Aachen,AAH,6.186389,50.823194,DEU
Cayana Airstrip,Cayana,AAJ,-55.577778,3.898611,SUR
Aranuka Airport,Buariki,AAK,173.636389,0.185278,KIR
Aalborg,Aalborg,AAL,9.849164,57.092789,DNK
Malamala Airport,Malamala,AAM,31.544584,-24.818111,ZAF
Al Ain International Airport,Al Ain,AAN,55.609167,24.261667,ARE
Anaco,Anaco,AAO,-64.470725,9.430225,VEN
Vityazevo,Anapa,AAQ,37.347272,45.002097,RUS
Aarhus,Aarhus,AAR,10.619008,56.300017,DNK
Altay Airport,Altay,AAT,88.116667,47.866667,CHN
Asau Airport,Savai\\'i,AAU,-172.627778,-13.505,WSM
Araxa Airport,Araxa,AAX,-46.960278,-19.563056,BRA
Al Ghaidah Intl,Al Ghaidah Intl,AAY,52.175,16.191667,YEM
Quezaltenango Airport,Quezaltenango,AAZ,-91.502,14.8656,GTM
Abakan,Abakan,ABA,91.385,53.74,RUS
Abadan,Abadan,ABD,48.228333,30.371111,IRN
Lehigh Valley Intl,Allentown,ABE,-75.440806,40.652083,USA
Abaiang Atoll Airport,Abaiang Atoll,ABF,173.04,1.8,KIR
Abilene Rgnl,Abilene,ABI,-99.681897,32.411319,USA
Abidjan Felix Houphouet Boigny Intl,Abidjan,ABJ,-3.926294,5.261386,CIV
Kabri Dehar Airport,Kabri Dehar,ABK,44.253,6.734,ETH
Ambler Airport,Ambler,ABL,-157.8575,67.106389,USA
Bamaga Injinoo,Amberley,ABM,142.459444,-10.950833,AUS
Albina Airstrip,Albina,ABN,-54.05,5.516667,SUR
Albuquerque International Sunport,Albuquerque,ABQ,-106.6091944,35.0402222,USA
Aberdeen Regional Airport,Aberdeen,ABR,-98.4218,45.4491,USA
Abu Simbel,Abu Simbel,ABS,31.611722,22.375953,EGY
Al Baha,El-baha,ABT,41.634277,20.296139,SAU
Nnamdi Azikiwe Intl,Abuja,ABV,7.263172,9.006792,NGA
Albury,Albury,ABX,146.958056,-36.067778,AUS
